1,Satish Dhawan Space Centre,"Sriharikota, Andhra Pradesh",India,1971
2,Guiana Space Centre,"Kourou, French Guiana",France,1964
3,Cape Canaveral,"Brevard County, Florida",United States of America,1950
4,Baikonur Cosmodrome,NULL,Kazakhstan,1955
5,Vandenberg AFB,"Santa Barbara County, California",United States of America,1941
6,Rocket Lab Launch Complex 1,Māhia Peninsula,New Zealand,2016
7,Dombarovsky Air Base,"Dombarovsky, Yasny",Russia,1953
8,Wallops Island,"Wallops Island, Virginia",United States of America,1945
9,Xichang Satellite Launch Center,"Xichang, Liangshan, Sichuan",China,1990
10,Vostochny Cosmodrome,"Tsiolkovsky, Amur Oblast",Russia,2011
11,Uchinoura Space Center,"Kimotsuki, Kagoshima Prefecture",Japan,2006
12,Jiuquan Satellite Launch Center,Gobi Desert,China / Mongolia,1999
13,Plesetsk Cosmodrome,"Mirny, Arkhangelsk Oblast",Russia,1957
14,Taiyuan Launch Center,"Kelan County, Xinzhou, Shanxi Province",China,1968
15,Sea Launch,"Long Beach, California",United States of America,1995
16,Wenchang Space Center,"Wenchang, Hainan",China,2014
17,Tanegashima Space Center,Tanegashima,Japan,1975
18,Pacific Spaceport Complex,Kodiak Island,Alaska,1998
19,Palmachim Launch Complex,Yavne,Israel,1988
20,Naro Space Center,"Outer Naro Island, Goheung, South Jeolla",South Korea,2009