1,SpaceX,United States of America,Hawthorne California
304,National Authority for Remote Sensing and Space Sciences,Egypt,23 Joseph Broz Tito Street El-Nozha El-Gedida Cairo Egypt Joseph Tito St
305,Mohammed bin Rashid Space Centre / American University of Sharjah,United Arab Emirates,Al Khawaneej St Al Khawaneej Dubai / University City Sharjah 
306,Center of Excellence for Space Sciences and Technologies,Slovenia,Aškerčeva 12 Ljubljana
307,Origin Space,China,Shenzhen Guangdong
308,Deimos,Spain,Rda. de Pte. 19 28760 Tres Cantos Madrid
309,Würzburg Center for Telematics,Germany,Magdalene-Schoch-Straße 5 97074 Würzburg
310,Korea Advanced Institute of Science and Technology,South Korea,291 Daehak-ro Yuseong-gu Daejeon
311,Nihon University,Japan,4 Chome-8-24 Kudanminami Chiyoda City Tokyo 102-0074
312,NigComSat,Nigeria,Space Centre Olusegun Obasanjo Way Garki 900108 Abuja Federal Capital Territory
313,National Space Research and Development Agency,Nigeria,Obasanjo Space Centre Umaru Musa Ydar'adua express way P.M.B. 437 Lugbe
314,Egyptian Radio and TV Union,Egypt,Maspero Television Building Nile Corniche Boulaq Num.4 Bulaq Cairo Governorate 11772
315,Echostar Corporation,United States of America,Englewood Colorado
316,Ningxia Jingui Information Technology Co. Ltd.,China,Zhongguancun Zhongweiyuan Shapotou District Zhongwei Ningxia 751700
317,Noorul Islam University,India,Thuckalay Kumaracoil Tamil Nadu 629180
318,National Oceanographic and Atmospheric Administration,United States of America,Washington D.C.
319,Novosibirsk State University,Russia,Novosibirsk Novosibirsk Oblast 630090
320,Norwegian Space Center,Norway,Oslo
321,UK Government / Surrey Satellite Technologies,United Kingdom,10 Downing Street in Westminster London / Guildford
322,National Oceanographic and Atmospheric Administration / NASA,United States of America,Washington D.C. /  300 E St SW Washington DC 20546
323,U.S. Air Force Space Test Office,United States of America,Edwards Air Force Base California
324,NSLComm,Israel,12 Kineret St. Airport City
325,PT Pasifik Satelit Nusantara,Indonesia,Bekasi Jawa Barat
326,O3b Networks Ltd.,Jersey,3rd Floor Anley House
327,U.S. Space Force,United States of America,Pentagon Washington D.C.
328,Spanish Space Agency,Spain,Seville
329,Italian Defense Ministry,Italy,Via Venti Settembre 8 00187 Roma RM
330,Optus Communications,Australia,Macquarie Park
331,Optus Communications / Australian Ministry of Defense,Australia,Macquarie Park / Canberra
332,ORBCOMM Inc.,United States of America,Rochelle Park Nova Jersey
333,University of Texas at El Paso,United States of America,500 W University Ave El Paso TX 79968
334,Defense Advanced Research Projects Agency / Tethers Unlimited,United States of America,Ballston Arlington County Virginia / 11711 N Creek Pkwy S Ste D113 Bothell Washington 98011
335,Portland State Aerospace Society,United States of America,Portland Oregon
336,United States Air Force / Operationally Responsive Space Office,United States of America,Washington D.C.
337,General Atomics - Electromagnetic Systems Group,United States of America,San Diego California
338,Mexico Secretariat of National Defense,Mexico,Lomas de Sotelo Miguel Hidalgo Mexico City
339,Pakistan Space and Upper Atmosphere Research Commission / PakSat International,Pakistan,Islamabad
340,US Naval Academy,United States of America,Annapolis Maryland
341,Helios Wire / Echostar Global Australia,Canada / Australia,Vancouver British Columbia / 1/30 Wattlebird Ct Burwood VIC 3125
342,Tiger Innovations,United States of America,540 Huntmar Park Dr suite b Herndon VA 20170
343,Netherlands Organization for Applied Scientific Research,Netherlands,Haia
344,Dauria Aerospace,Russia,Moscow
345,Peruvian Space Agency,Peru,1069 Luis Felipe Villarán St. San Isidro Lima
346,Rocket Labs,New Zealand,25 Levene Place Mount Wellington Auckland 1060
347,Brigham Young University,United States of America,Provo UT 84602
348,German Aerospace Center / TEuropean Space AgencyT Spacecom,Germany,Cologne / Backnang
349,University of Chile,Chile,Av. Libertador Bernardo O'Higgins 1058 Santiago Región Metropolitana
350,US Coast Guard,United States of America,Douglas A. Munro Coast Guard Headquarters Building Washington D.C.
351,University of Colorado Boulder,United States of America,Boulder CO 80309
352,National Technical University,Ukraine,Peremohy Ave 37 Kyiv 0305
353,Italian Space Agency,Italy,Rome
354,Naval Post-Graduate School,United States of America,1 University Circle Monterey CA 93943
355,Georgia Institute of Technology,United States of America,North Ave NW Atlanta GA 30332
356,Pakistan Space and Upper Atmosphere Research Commission,Pakistan,Islamabad
357,Shanghai Academy of Spaceflight Technology,China,Shanghai
358,Astrodynamics and Control Laboratory of Yonsei University,South Korea,Department of Astronomy Science Hall Yonsei University 50 Yonsei-ro Seodaemun-gu Seoul 03722
359,Qiansheng Exploration Technology Co. Ltd.,China,555 Qianmo Rd Binjiang District Hangzhou Zhejiang 311200
360,Shandong Institute of Industrial Technology,China,Jinan Shandong
361,Orbital Space,United Arab Emirates,Building A5 Dubai Digital Park - Dubai Silicon Oasis - Dubai 
362,iQPS,Japan,6F 1 Chome-15-35 Tenjin Chuo Ward Fukuoka 810-0001
363,University of Science and Technology,China,1129 Huizhou Blvd Baohe District Hefei Anhui 230052
364,University of New South Wales / Department of Defence,Australia,Sydney NSW 2052 / 270 Pitt St Sydney NSW 2000
365,MDA Corporation,Canada,9445 Airport Rd Brampton ON L6S 4J3
366,C3S,Hungary,Budapest Könyves Kálmán krt. 12-14 1097
367,Vanderbilt University / AMSAT,United States of America,2201 West End Ave Nashville TN 37235 / Silver Spring Maryland
368,Space Technologies Research Institute,Turkey,Üniversiteler 06800 Çankaya/Ancara
369,Regional African Satellite Communications Organization,Multinational,unit building، 106 8 E St - Dubai - United Arab Emirates
370,Applied Physics Laboratory / NASA,United States of America,Laurel Maryland / 300 E St SW Washington DC 20546
371,Reaktor Space Lab,Finland,Otakaari 5 02150 Espoo
372,Skobeltsyn Institute of Nuclear Physics,Russia,Ulitsa Kolmogorova Moscow 119991
373,Tohoku University,Japan,2 Chome-1-1 Katahira Aoba Ward Sendai Miyagi 980-8577
374,Tohoku University / Hokkaido University,Japan,2 Chome-1-1 Katahira Aoba Ward Sendai Miyagi 980-8577 / Kita Ward Sapporo Hokkaido 060-0808
375,University of Montpellier,France,641 Av. du Doyen Gaston Giraud 34000 Montpellier
376,National Autonomous University of Mexico,Mexico,University City Coyoacán 04510 Mexico City
377,AMSAT / Nepal,United States of America / Nepal,Silver Spring Maryland / Nepal
378,National Space Activities Commission,Argentina,Av. Paseo Colón 751 C1063ACH CABA
379,Department of National Defense,Canada,111 Peter St Toronto ON M5V 2H1
380,Sateliot IoT,Spain,C.de Berlín 61 08029 Barcelona
381,Department of Computer Science and the Faculty of Engineering Ariel University,Israel,Ramat HaGolan St 65 Ari'el
382,Riyadh Space Research Institute,Saudi Arabia,4241 8612 Al Raed Riyadh 12354
383,Space Research Institute King Abdulaziz City for Science and Technology,Saudi Arabia,PJ8W+QP3 Prince Turki Ibn Abdulaziz Al Awwal Rd Al Raed Riyadh 12354
384,Strategic Space Command / Space Surveillance Network,United States of America,Peterson Space Force Base Colorado / Hanscom Field Bedford Massachusetts
385,Instituto Nacional de Pesquisas Espaciais,Brazil,ão José dos Campos São Paulo
386,University of North Carolina - Wilmington,United States of America,601 College Rd Wilmington NC 28403
387,Telebras /     ,Brazil,Brasília Distrito Federal 
388,Teen Satellite Project,China,Unknown
389,NASA Langley Research Center,United States of America,1 Nasa Dr Hampton VA 23666
390,China Satellite Communications Corp.,China,Building AChina Satellite Communications TowerNo.65 Zhichun RoadHaidian DistrictBeijing
391,National Space Program,Ukraine,street Moskovskaya 8 Kyiv
392,Italian Defense Ministry / French Defense Ministry,Italy / France,Via Venti Settembre 8 00187 Roma / Hexagone Balard
393,European Space Agency / Royal Meteorological Institute of Belgium,European Space Station / Belgium,3 Avenue Circulaire Brussels
394,SRI International,United States of America,Menlo Park California
395,Sirius XM Holdings,United States of America,New York
396,China Siwei Surveying and Mapping Technology Co. Ltd.,China,Baisheng Village Haidian District Beijing Purple Bamboo One Beijing 100048
397,Sky Mexico,Mexico,Insurgentes Sur 694 Colonia Del Valle Mexico City Mexico City 03100
398,NBN Co,Australia,Sydney
399,DirecTV Latin America / Intelsat,United States of America,2 230 E. Imperial Highway El Segundo Condado de Los Angeles Califórnia / Washington D.C.
400,Intelsat / Paradigm Secure Communications,United States of America / United Kingdom,McLean Virginia / Stevenage Herts
401,LightSquared,United States of America,Reston Virginia
402,US Southern Command,United States of America,Doral Florida
403,National Institute of Information and Communications Technology,Japan,Tokyo
404,Astrotech SOHLA,United States of America,Austin Texas
405,Technical University Dresden,Germany,01069 Dresden
406,University of Würzburg,Germany,Sanderring 2 97070 Würzburg
407,NASA / Laboratory for Atmospheric and Space Physics Univ. of Colorado,United States of America,300 E St SW Washington DC 20546 / 1234 Innovation Dr Boulder CO 80303
408,South Asian Association for Regional Cooperation,Nepal,Kathmandu
409,Hughes Space and Communications Co.,United States of America,Germantown Maryland
410,Omnispace,United States of America,Washington D.C.
411,Endurosat,Bulgaria,Sofia
412,Astro Space Center of Moscow / Russian Academy of Sciences,Russia,Ulitsa Profsoyuznaya 84/32 Moscow 117810 / Leninskiy Prospekt 14 Moscow 119991
413,Spot Image,France / Belgium / Sweden,Toulouse France
414,SRM Institute of Science and Technology,India,R2FV+6Q7 Potheri SRM Nagar Kattankulathur Tamil Nadu 603203
415,Government of Sudan,Sudan,Juba
416,Chilean Air Force,Chile,Edificio Delphos Cerrillos Santiago
417,Beihang University / Asia-Pacific Space Cooperation Organization,China,37 Xueyuan Rd Haidian District Beijing 100191 / Pequim
418,Shanghai Jiao Tong University / Asia-Pacific Space Cooperation Organization,China,China Shanghai Minhang District 200240 / Pequim
419,Singapore Telecommunications Ltd. / Chunghwa Telecom Co. Ltd.,Singapore / Taiwan,31 Exeter Road Comcentre Number 19-00 239732 / Taipé
420,SatRevolution / Steamjet,Poland / United Kingdom,Wroclaw / London
421,SatRevolution,Poland,Wroclaw
422,Atlas,United States of America,4830 W Kennedy Boulevard Tampa
423,Synspective,Japan,3-10-3 Miyoshi Koto-ku Tokyo
424,Missile Defense Agency,United States of America,Colorado Springs Colorado
425,Beijing Space View Technology,China,Beijing
426,College of Engineering Pune,India,Wellesely Rd Shivajinagar Pune-411 005. Maharashtra
427,Goddard Space Flight Center / Penn State University,United States of America / United Kingdom / Italy,8800 Greenbelt Rd Greenbelt MD 20771 / State College PA 16801
428,Operational Responsive Space Office,United States of America,Washington D.C.
429,Minospace,China,Beijing
430,Alibaba,China,Hangzhou
431,Orbit Fab,United States of America,1460 Overlook Dr Lafayette CO 80026
432,Goddard Space Flight Center,United States of America,8800 Greenbelt Rd Greenbelt MD 20771
433,NASA / SES Americom,United States of America,300 E St SW Washington DC 20546 / Suite 1000 1129 20th Street N.W. 20036 DC
434,NASA / Ames Research Center,United States of America,301 E St SW Washington DC 20546 / Moffett Field California
435,Teikyo University,Japan,Itabashi Tokyo
436,AgilSpace,Singapore,1 Ang Mo Kio Electronics Park Rd 569450
437,TerraStar Corporation,United States of America,11700 Plaza America Dr Fl 9 Reston Virginia 20190
438,Herzliya Science Center,Israel,Shiv'at Hakohavim Blvd 2 Herzliya
439,Thaicom Public Company Ltd.,Thailand,Bangkok
440,Geo-Informatics and Space Technology Development Agency,Thailand,Chaeng Watthana Government Complex Lak Si Bangkok
441,Telenor Satellite Broadcasting,Norway,Fornebu
442,Thuraya Satellite Communications,United Arab Emirates,Abu Dhabi
443,China Manned Space Engineering Office,China,Beijing
444,Tianjin University,China,455G+6FG Beiyang Ave Nankai District Tianjin 300072
445,China Aerospace Science and Industry Corp.,China,Haidian District ‎Beijing
446,Guodian Gaoke,China,Beijing
447,Insight Position Digital Intelligence Technology Service Co. Ltd.,United States of America,Chandler Arizona
448,China Telecom,China,Pequim
449,National University of Defense Technology,China,Changsha
450,China Electronic Technology Group,China,Pequim
451,La Sapienza University of Rome,Italy,Piazzale Aldo Moro 5 00185 Roma
452,Bolivia Aerospace Bureau,Bolivia,La Paz
453,University of Malibor / SkyLabs,Slovenia / South Korea,Slomškov trg 15 2000 Maribor / Seongnam Kyonggi-do
454,Tallinn University of Technology,Estonia,Ehitajate tee 5 12616 Tallinn
455,Turkmenistan Ministry of Communications / Space Systems International-Monaco,Turkmenistan / Monaco,Archabil highway Ashgabat / 7 Rue du Gabian 98000
456,Turksat,Turkey,Gölbaşı Ankara
457,Elbit Systems,Israel,Haifa
458,DMC International Imaging,United Kingdom,Guildford Surrey
459,Alba Orbital,Scotland,Glasgow
460,Wakayama University,Japan,930 Sakaedani Wakayama 640-8510
461,Polytechnic University of Madrid,Spain,28040 Madrid
462,University of Versailles Saint-Quentin-en-Yvelines / National Centre for Scientific Research,France,Siège 55 Av. de Paris 78000 Versailles / 3 Rue Michel Ange 75016 Paris
463,Care Weather Technologies,United States of America,165 1330 W STE A-3 Orem UT 84057
464,Nanyang Technological University,Singapore,50 Nanyang Ave 39798
465,ViaSat Inc.,United States of America,Carlsbad California
466,Vietnamese Posts and Telecommunications Group,Vietnam,57 Huynh Thuc Khang Str. Lang Ha Ward Dong Da District Ha Noi
467,Space Technology Institute-Vietnam Academy of Science and Technology,Vietnam,1 Đ. Mạc Đĩnh Chi Bến Nghé Quận 1 Thành phố Hồ Chí Minh 70072
468,NASA / Carnegie Mellon University,United States of America,301 E St SW Washington DC 20546 / 5000 Forbes Ave Pittsburgh PA 15213
469,Bolivarian Agency for Space Activities,Venezuela,Caracas
470,Czech Aerospace Research Center,Czech Republic,Beranovych 130 CZ-19905 Prague - Letnany
471,Shanghai Micro Satellite Engineering Center,China,99 Haike Road Pudong District. Shanghai 201203
472,WildBlue Communications,United States of America,349 Inverness Drive South Englewood CO 80112
473,Weathernews Inc.,Japan,Makuhari Techno Garden Nakase 1-3. Mihama-ku Chiba-shi #261-0023. Chiba
474,Maxar Technologies Inc.,United States of America,1300 West 120th Avenue Westminster CO 80234
475,Chengdu Guoxing Aerospace Technology Co. Ltd.,China,Chengdu Sichuan
476,Xingyun Satellite Co.,China,Beijing
477,DFH Satellite Co. Ltd.,China,Beijing
478,Centre for Research in Satellite Technology,Singapore,4 Engineering Drive 3 National University of Singapore 117583
479,DFH Satellite Co. Ltd. / AMSAT-China,China,Beijing
480,Loft Orbital / Fugro,United States of America,321 11th St San Francisco CA 94103 / Houston
481,Loft Orbital,United States of America,321 11th St San Francisco CA 94103
482,Gazprom Space Systems,Russia,Schiolkovo
483,Bauman Moscow State Technical University,Russia,2-nd Baumanskaya 5 Moscow 105005
484,GalaxySpace,China,Beijing
485,Hubei University of Technology,China,Hongshan Wuhan 430068
486,French South African Institute of Technology / Cape Peninsula University of Technology,South Africa,Pretoria / CPUT Bellville Campus Technology way Food Science & Technology Building Bellville South Industrial Cape Town 7530
487,China Earthquake Administration / Italian Institute for Nuclear Physics,China / Italy,Pequim / Viale dell'Università 2 35020 Legnaro PD
488,Zhejiang University,China,866 Yuhangtang Rd Xihu Hangzhou Zhejiang 310027
489,Zhuhai Orbita,China,Zhuhai
490,Mitsubishi Heavy Industries,Japan,Chiyoda Tokyo
491,BlackSky Global,United States of America,Herndon Virginia
492,Hispamar,Brazil,200 Praia Do Flamengo 17º Andar Rio De Janeiro Rj 22210-901
493,National Institute for Space Research,Brazil,São José dos Campos São Paulo
494,Ministry of Defense / XTAR,United States of America,Arlington Virginia / 1602 Village Market Blvd. SE Suite 360. Leesburg VA 20175
495,European Space Operations Centre,France,Paris
496,La Sapienza University of Rome / Machakos University / University of Nairobi,Italy / Kenya,Piazzale Aldo Moro 5 00185 Roma / University Way Nairobi
497,Centre National d'Etudes Spatiales / Israel Space Agency,France / Israel,2 place Maurice-Quentin‎ ‎Paris / Tel Aviv
498,National Reconnaissance Office / US Air Force,United States of America,14675 Lee Rd Chantilly VA 20151 / Washington D.C.
499,UMBRA,United States of America,Santa Barbara California
500,Echostar Satellite Services LLC / Intelsat,United States of America,Englewood Colorado / McLean Virginia
501,Centre National d'Etudes Spatiales / NASA,France / United States of America,2 place Maurice-Quentin‎ ‎Paris / 301 E St SW Washington DC 20546
502,Earth-i / Surrey Satellite Technology Ltd.,United Kingdom,40 Occam Road Surrey Research Park Guildford Surrey GU2 7YG / Guildford
503,NASA / Colorado State University,United States of America,301 E St SW Washington DC 20546 / Fort Collins CO 80523
504,Airbus Defence and Space,Germany,Taufkirchen
505,US Air Force / NASA,United States of America,Washington D.C. / 301 E St SW Washington DC 20546
506,California Polytechnic State University / NASA,United States of America,301 E St SW Washington DC 20546 / San Luis Obispo California
507,Mexican Space Agency / NanoAvionics,Mexico / Lithuania,Mexican City / NanoAvionics UAB Mokslininku str. 2A LT-08412 Vilnius
508,ADA Space,China,Chengdu
509,Arms Procurement Agency / Centre National d'Etudes Spatiales,France,60 Bd du Général Martial Valin 75015 Paris / 2 place Maurice-Quentin Paris / 2 Pl. Maurice Quentin 75001 Paris
510,NASA / Japan Meteorological Agency / Brazilian Space Agency,United States of America / Japan / Brazil,301 E St SW Washington DC 20546 / Nakakiyoto Kiyose Tokyo / SPO Setor Policial Área 5 Quadra 3 BL A SHCS Brasília - DF 70610-200
511,EUTELSAT S.A. / Es'hailSat,Multinational / Katar,Paris France / Property No. 414 Al Markhiya St. No. 380 Area No. 31 Umm Lakhba Doha
512,EUTELSAT S.A. / NilEuropean Space Agencyt,Multinational,Paris France / Janovského 438/2 170 00 Praha 7-Holešovice Czechia
513,Firebird Consortium,United States of America,13710 Central Ave Bowie MD 20721
514,PanAmSat (Intelsat S.A.) / Sky Perfect JSAT Corp.,United States of America / Japan,Greenwich Connecticut / Tokyo
515,PanAmSat (Intelsat S.A.) / DirecTV Inc.,United States of America,Greenwich Connecticut / El Segundo California
516,China National Academy of Sciences,China,52 Sanlihe Rd Xicheng District Beijing 100045
517,Air Force Research Laboratory / Globalstar,United States of America,Wright-Patterson Air Force Base Ohio / Covington Luisiana
518,NearSpace Launch / Air Force Research Laboratory,United States of America,79 Railroad St Upland IN 46989 / Wright-Patterson Air Force Base Ohio
519,NASA / Japan Aerospace Exploration Agency,United States of America / Japan,301 E St SW Washington DC 20546 / Chofu-city Tokyo
520,Centre National d'Etudes Spatiales / Délégation Générale de l'Armement,France,2 place Maurice-Quentin Paris / 60 Bd du Général Martial Valin 75015 Paris
521,Hellas-Sat Consortium Ltd. / INMARSAT,Greece / United Kingdom,Athens / London
522,European Space Agency / NASA,European Space Station / United States of America,Paris France / 301 E St SW Washington DC 20546
523,INMARSAT Ltd.,United Kingdom,London
524,INMARSAT Ltd. / European Space Agency,United Kingdom / European Space Station,London / Paris France
525,iSky Technology,Czech Republic,Průjezdná 155 31 Praha-Lipence Czechia
526,NASA / CalPoly,United States of America,301 E St SW Washington DC 20546 / 1 Grand Ave San Luis Obispo CA 93407
527,Radio Amateur Society of Thailand,Thailand,3JH7+727 Khlong Nueng Khlong Luang District Pathum Thani 12120
528,NASA / Centre National d'Etudes Spatiales / National Oceanic and Atmospheric Administration / European Organisation for the Exploitation of Meteorological Satellites,United States of America / France / Germany,301 E St SW Washington DC 20546 / 2 place Maurice-Quentin Paris / Virginia / Washington D.C. / Eumetsat Allee 1 64295 Darmstadt
529,Beijing ZeroG Space Technology Co. Ltd. / Hong Kong Aerospace Tech Group,China,Beijing / Hong Kong
530,KT Corporation / Korean Agency for Defense Development,South Korea,Yuseong District Daejeon
531,NASA / US Geological Survey,United States of America,301 E St SW Washington DC 20546 / 12201 Sunrise Valley Drive Reston VA 20192
532,Harbin Institute / China Amateur Satellite - CAMSAT,China,92 Xida St Nangang Harbin Heilongjiang 150001 / Unknown
533,Defence Research and Development Canada / Canadian Space Agency,Canada,400 Rue Cumberland St Ottawa ON K1N 1J8 / 6767 Rte de l'Aéroport Saint-Hubert QC J3Y 8Y9
534,Indian Space Research Organization / Centre National d'Etudes Spatiales,India / France,2HPC+2CR Antariksh Bhavan New BEL Road Bengaluru Karnataka 560231 / 2 place Maurice-Quentin Paris
535,DoD / US Navy,United States of America,Arlington Virginia / Washington D.C.
536,"ITU Space Systems Design & Test Laboratory",Turkey,İTÜ Ayazaga Campus 34469 Maslak
537,DoD / US Air Force,United States of America,Arlington Virginia / Washington D.C.
538,NASA / Stanford University,United States of America,301 E St SW Washington DC 20546 / 450 Serra Mall Stanford CA 94305
539,Michigan Technological University / Air Force Research Laboratory,United States of America,1400 Townsend Dr Houghton MI 49931 / Wright-Patterson Air Force Base Ohio
540,NASA / Cornell University,United States of America,301 E St SW Washington DC 20546 / Ithaca NY 14850
541,HisdEuropean Space Agencyt,European Space Station,Camino Bajo del Castillo s/n 28692 Villafranca del Castillo Madrid
542,Ministry of Defense / Centre National d'Etudes Spatiales,France,14 Rue Saint-Dominique 75007 Paris / 2 place Maurice-Quentin Paris
543,Institute of Space and Astronautical Science / Japan Aerospace Exploration Agency,Multinacional,Sagamihara Kanagawa Japan / Chofu-city Tokyo Japan
544,Indian Space Research Organization / exactEarth,India / Canada,2HPC+2CR Antariksh Bhavan New BEL Road Bengaluru Karnataka 560231 / Cambridge Ontario
545,National Reconnaissance Office / US Navy,United States of America,14675 Lee Rd Chantilly / Washington D.C.
546,SES S.A. / EchoStar Satellite Services LLC,Luxembourg / United States of America,Betzdorf / Englewood Colorado
547,Italian Defense Ministry / Telespazio,Italy,Via Venti Settembre 8 00187 Roma RM / Via Tiburtina 965 00156 Roma
548,XM Satellite Radio USA,United States of America,485 Madison Ave New York NY 10022
549,Ministry of Defense / Paradigm Secure Communications,United Kingdom,Whitehall London SW1A 2HB United Kingdom / Stevenage Herts
550,Centre National d'Etudes Spatiales / European Space Agency,France / European Space Station,2 place Maurice-Quentin Paris / Paris France
551,HisdEuropean Space Agencyt / Ministry of Defense,European Space Station / Spain,Camino Bajo del Castillo s/n 28692 Villafranca del Castillo Madrid / P.º de la Castellana 109 28046 Madrid
552,Air Force Research Laboratory / Swedish Defense Materiel Administration,United States of America / Sweden,1864 4th St Wright-Patterson AFB OH 45433 / Stora Räppevägen 2 352 50 Växjö
553,Ministry of Defense / General Delegation for Ordnance,Cameroon,B.P 1162 Bd de la Réunification Yaoundé / VGJ8+8RF Rue Onembele Nkou Yaoundé
554,Sky Perfect JSAT Corporation / DSN Corp.,Japan / United States of America,AKASAKA INTERCITY AIR 8-1 Akasaka 1-chome Minato-ku Tokyo 107-0052 / 10607 Eastborne Ave Los Angeles California 90024
555,Ecole Polytechnique Fédérale de Lausanne,Switzerland,Rte Cantonale 1015 Lausanne
556,German Aerospace Center / Astrium,Germany / France,Linder Höhe 51147 Köln / Paris
557,TelEuropean Space Agencyt Canada Ltd. / APT Satellite Holdings Ltd.,European Space Station / China,Camino bajo del Castillo s/n Urbanización Villafranca del Castillo Villanueva de la Cañada E-28692 Madrid Spain / Hong Kong
558,German Aerospace Center / Infoterra,Germany / United Kingdom,Linder Höhe 51147 Köln / Leicester
559,Sun Yat-sen University,China,37WX+JH Haizhu District Guangzhou Guangdong Province
560,Spacety / ThrustMe,Russia / France,Novo-Leningradskaya Ulitsa 5А Smolensk Smolensk Oblast 21401252 / 12 Rue des Petits Ruisseaux 91370 Verrières-le-Buisson
561,Spacety / Changsha Gaoxinqu Tianyi Research Institute,Russia / China,Novo-Leningradskaya Ulitsa 5А Smolensk Smolensk Oblast 21401252 / Sanlihe Rd Xicheng District Beijing 100045
562,Chinese Academy of Sciences / China Academy of Space Technology,China,52 Sanlihe Rd Xicheng District Beijing 100045
563,Technical University of Graz,Austria,Rechbauerstraße 12 8010 Graz